title_spec,title_program,hour,price,date,linkNmo
Лабораторное дело (Медико-профилактическое дело),Лабораторное дело,288,19584,07.09.2022,https://clck.ru/337QK3
Лечебное дело,Современные аспекты управления экономики здравоохранения,36,2448,,https://clck.ru/337QL8
Лечебное дело,Скорая и неотложная помощь,36,2448,,https://clck.ru/337QMR
Лечебное дело,Лечебное дело,36,2448,04.04.22,https://clck.ru/337QPA
Лечебное дело,Лечебное дело: актуальные вопросы и инновационные решения,74,5032,07.04.2022,https://clck.ru/337QPx
Лечебное дело,Современные аспекты управления экономики здравоохранения,144,9792,,https://clck.ru/337QQW
Лечебное дело,Лечебное дело,144,9792,04.04.22,https://clck.ru/337QR2
Лечебное дело,Лечебное дело,288,19584,04.04.22,https://clck.ru/337QRE
Лечебное дело,Организационно-правовые основы работы фельдшерских здравпунктов на предприятиях,144,9792,09.08.2022,https://clck.ru/337QRa
Лечебное дело,Современные аспекты акушерской помощи в родовспомогательных учреждениях,74,5032,17.08.2022,https://clck.ru/337QS9
"Лечебное дело
(Акушерское дело, Сестринское дело, Сестринское дело в педиатрии)",Охрана здоровья детей,144,9792,18.07.2022,https://clck.ru/337QSo
"Лечебное дело
(Акушерское дело, Медико-социальная помощь, Сестринское дело)",Медико-социальная помощь,288,19584,30.08.2022,https://clck.ru/337QTZ
"Лечебное дело
(Акушерское дело, Медико-социальная помощь, Сестринское дело)",Медико-социальная помощь: актуальные проблемы и инновационные решения,74,5032,30.08.2022,https://clck.ru/337QTs
Лечебная физкультура,Лечебная физкультура,36,2448,04.04.22,https://clck.ru/337QW6
Лечебная физкультура,Лечебная физкультура: актуальные вопросы и инновационные решения,74,5032,04.04.22,https://clck.ru/337QWV
Лечебная физкультура,Лечебная физкультура,144,9792,04.04.22,https://clck.ru/337QWv
Лечебная физкультура,Лечебная физкультура,288,19584,04.04.22,https://clck.ru/337QXB
Медико-профилактическое дело,Медико-профилактическое дело,36,2448,11.04.2022,https://clck.ru/337QYb
Медико-профилактическое дело,Актуальные аспекты профилактики инфекционных заболеваний в медицинских учреждениях,36,2448,30.11.21,https://clck.ru/337Qcg
Медико-профилактическое дело,Медико-профилактическое дело: актуальные вопросы и инновационные решения,74,5032,11.04.2022,https://clck.ru/337QZh
Медико-профилактическое дело,Организация санитарного просвещения,144,9792,,https://clck.ru/337QdR
Медико-профилактическое дело,Современные аспекты эпиднадзора,144,9792,,https://clck.ru/337Qe6
Медико-профилактическое дело,Современные вопросы гигиены труда,144,9792,,https://clck.ru/337Qfq
Медико-профилактическое дело,Современные аспекты эпиднадзора,144,9792,18.02.22,https://clck.ru/337Qe6
Медико-профилактическое дело,Организация дезинфекционного дела,144,9792,,https://clck.ru/337Qph
Медико-профилактическое дело,Иммунопрофилактика инфекционных заболеваний,144,9792,,https://clck.ru/337Qqc
Медико-профилактическое дело,Медико-профилактическое дело,144,9792,11.04.2022,https://clck.ru/337QbE
Медико-профилактическое дело,Медико-профилактическое дело,288,19584,11.04.2022,https://clck.ru/337Qay
Медико-профилактическое дело,Инфекционная безопасность. Профилактика ИСМП,36,2448,12.08.2022,https://clck.ru/337Qr6
Медико-социальная помощь,Современные аспекты медико-социальной помощи,144,9792,,https://clck.ru/337Qt6
Медико-социальная помощь,Медико-социальная помощь,144,9792,17.08.2022,https://clck.ru/337QvF
"Медико-социальная помощь
(Акушерское дело, Сестринское дело)",Медико-социальная помощь,36,2448,20.04.2022,https://clck.ru/337Qvm
"Медико-социальная помощь
(Акушерское дело, Сестринское дело)",Медико-социальная помощь,36,2448,02.06.2022,https://clck.ru/337Qvm
Медицинская оптика,"Организация работы предприятий ""Оптика""",36,2448,,https://clck.ru/337Qxw
Медицинская оптика,Медицинская оптика: актуальные вопросы и инновационные решения,74,5032,,https://clck.ru/337Qyp
Медицинская оптика,"Организация работы предприятий ""Оптика""",144,9792,,https://clck.ru/337QyF
Медицинская оптика,Медицинская оптика,36,2448,07.07.2022,https://clck.ru/337R29
Медицинская оптика,Медицинская оптика,144,9792,,https://clck.ru/337R3B
Медицинская оптика,Медицинская оптика,288,19584,03.08.2022,https://clck.ru/337R58
Медицинская оптика,Алгоритм подбора очков и коррекция зрения,144,9792,03.11.2022,https://clck.ru/337R5g
Медицинская статистика,Медицинская статистика,36,2448,,https://clck.ru/337R6U
Медицинская статистика,Медицинская статистика,36,2448,17.08.2022,https://clck.ru/337RCB
Медицинская статистика,Медицинская статистика,144,9792,,https://clck.ru/337RCa
Медицинская статистика,Медицинская статистика,144,9792,17.08.2022,https://clck.ru/337RCx
Медицинская статистика,Медицинская статистика,288,19584,28.04.2022,https://clck.ru/337RD8
Медицинская статистика,Медицинская статистика: актуальные вопросы и инновационные решения,74,5032,16.11.2022,https://clck.ru/337RDc
Медицинский массаж (Лечебная физкультура),Медицинский массаж,144,9792,,https://clck.ru/337RFE
Медицинский массаж (Лечебная физкультура),Медицинский массаж,144,9792,,
Медицинский массаж,Медицинский массаж,36,2448,,https://clck.ru/337REU
Медицинский массаж,Медицинский массаж: актуальные вопросы и инновационные решения,74,5032,21.02.2022,https://clck.ru/337RG6
Медицинский массаж,Медицинский массаж,144,9792,,https://clck.ru/337RFb
Медицинский массаж,Детский массаж,144,9792,,https://clck.ru/337RGd
Медицинский массаж,Медицинский массаж,144,9792,21.02.22,https://clck.ru/337RFE
Медицинский массаж,Медицинский массаж,288,19584,06.04.2022,https://clck.ru/337RJN
Младший медицинский персонал,Медицинский уход за пациентами с осложнениями новой коронавирусной инфекции,36,2448,27.05.2022,https://clck.ru/337RKE
Младший медицинский персонал,Медицинский уход за пациентами с осложнениями новой коронавирусной инфекции,74,5032,27.05.2022,https://clck.ru/337RKk
Младший медицинский персонал,Медицинский уход за пациентами с осложнениями новой коронавирусной инфекции,144,9792,27.05.2022,https://clck.ru/337RLr
Младший медицинский персонал,Медицинский уход за пациентами с осложнениями новой коронавирусной инфекции,288,19584,27.05.2022,https://clck.ru/337RLA
"Наркология
(Лечебное дело)",Наркология,36,2448,14.04.2022,https://clck.ru/337RM9
"Наркология
(Лечебное дело)",Наркология: актуальные вопросы и инновационные решения,74,5032,15.04.2022,https://clck.ru/337RMp
"Наркология
(Лечебное дело)",Наркология,144,9792,15.04.2022,https://clck.ru/337RNK
"Наркология
(Лечебное дело)",Наркология,288,19584,15.04.2022,https://clck.ru/337RNa
Общая практика,Первичная медико-санитарная помощь взрослому населению,36,2448,,https://clck.ru/337RPm
Общая практика,Общая практика,36,2448,15.08.2022,https://clck.ru/337RQW
Общая практика,Общая практика: актуальные вопросы и инновационные решения,74,5032,01.08.2022,https://clck.ru/337RQu
Общая практика,Общая практика,144,9792,01.08.2022,https://clck.ru/337RRD
Общая практика,Общая практика,288,19584,01.08.2022,https://clck.ru/337RRQ
Операционное дело,Сестринское операционное дело,144,9792,,https://clck.ru/337RS2
Операционное дело,Сестринское операционное дело,36,2448,,https://clck.ru/337RSR
Операционное дело,Деятельность медицинской сестры в операционном отделении,74,5032,05.09.2022,https://clck.ru/337RTb
Операционное дело,Деятельность медицинской сестры в операционном отделении,36,2448,06.09.2022,https://clck.ru/337RTJ
Операционное дело,Деятельность медицинской сестры в операционном отделении,144,9792,06.09.2022,https://clck.ru/337RTu
Операционное дело,Деятельность медицинской сестры в операционном отделении,288,19584,06.09.2022,https://clck.ru/337RUC
Организация сестринского дела,Управление и экономика в здравоохранении,36,2448,,https://clck.ru/337RV7
Организация сестринского дела,Организация сестринского дела,36,2448,14.04.2022,https://clck.ru/337RWe
Организация сестринского дела,Организация сестринского дела: вопросы и инновационные решения,74,5032,14.04.2022,https://clck.ru/337RW2
Организация сестринского дела,Организация сестринского дела,144,9792,14.04.2022,https://clck.ru/337RVa
Организация сестринского дела,Организация сестринского дела,288,19584,14.04.2022,https://clck.ru/337RWp
Рентгенология,Рентгенология,36,2448,06.04.2022,https://clck.ru/337RXh
Рентгенология,Лабораторное дело в рентгенологии,36,2448,,https://clck.ru/337RZY
Рентгенология,Рентгенология: актуальные вопросы и инновационные решения,74,5032,14.02.2022,https://clck.ru/337RYC
Рентгенология,"Монтаж, ремонт и техническое обслуживание рентгеновской аппаратуры",144,9792,,https://clck.ru/337RaE
Рентгенология,Лабораторное дело в рентгенологии,144,9792,,https://clck.ru/337RbA
Рентгенология,Рентгенология,144,9792,,https://clck.ru/337RYU
Рентгенология,Рентгенология,288,19584,06.04.2022,https://clck.ru/337Rbj
Рентгенология,Рентгенология,288,19584,06.04.2022,
Рентгенология,"Выполнение рентгенологических снимков, исследований КТ и МРТ",36,2448,07.07.2022,https://clck.ru/337RcD
Реабилитационное сестринское дело,Лечебная физкультура: актуальные вопросы и инновационные решения,74,5032,24.02.22,https://clck.ru/337Rcy
Реабилитационное сестринское дело,Реабилитационное сестринское дело,36,2448,18.08.2022,https://clck.ru/337RdR
Реабилитационное сестринское дело,Реабилитационное сестринское дело: актуальные вопросы и инновационные решения,74,5032,19.08.2022,https://clck.ru/337Rdt
Реабилитационное сестринское дело,Реабилитационное сестринское дело,144,9792,18.08.2022,https://clck.ru/337ReU
Реабилитационное сестринское дело,Реабилитационное сестринское дело,288,19584,18.08.2022,https://clck.ru/337Rf2
Сестринское дело,"Профилактика, диагностика и лечение новой коронавирусной инфекции (COVID-19) в деятельности медицинской сестры",36,2448,,https://clck.ru/337Rfo
Сестринское дело,Актуальные вопросы новой коронавирусной инфекции COVID-19,36,2448,,https://clck.ru/337Rg9
Сестринское дело,Актуальные вопросы новой коронавирусной инфекции COVID-19,36,2448,,https://clck.ru/337RgN
Сестринское дело,Сестринское дело,36,2448,07.04.2022,https://clck.ru/337RhC
Сестринское дело,Сестринское дело в кардиологии,36,2448,09.03.2022,https://clck.ru/337Ri3
Сестринское дело,Сестринское дело в терапии. Общее усовершенствование,36,2448,,https://clck.ru/337RiK
Сестринское дело,Первичная медико-санитарная помощь детям,36,2448,,https://clck.ru/337Rir
Сестринское дело,Управление и экономика в здравоохранении,36,2448,,https://clck.ru/337Rja
Сестринское дело,Сестринское дело: актуальные вопросы и инновационные решения,74,5032,28.02.2022,https://clck.ru/337Rjp
Сестринское дело,Сестринское дело в гастроэнтерологии,144,9792,,https://clck.ru/337Rk7
Сестринское дело,Сестринское дело в аллергологии,144,9792,23.05.2022,https://clck.ru/337Rkx
Сестринское дело,Сестринское дело в неврологии,144,9792,23.05.2022,https://clck.ru/337RmU
Сестринское дело,Сестринское дело в пульмонологии,144,9792,23.05.2022,https://clck.ru/337Rmi
Сестринское дело,Сестринское дело в эндокринологии,144,9792,23.05.2022,https://clck.ru/337RnA
Сестринское дело,Сестринское дело при инфекциях,144,9792,,https://clck.ru/337RnR
Сестринское дело,Сестринское дело во фтизиатрии,144,9792,,https://clck.ru/337RoW
Сестринское дело,Сестринское дело в хирургии. Общее усовершенствование,144,9792,,https://clck.ru/337RpD
Сестринское дело,Сестринское дело в терапии. Общее усовершенствование,144,9792,,https://clck.ru/337Rpi
Сестринское дело,Сестринское дело в урологии,144,9792,,https://clck.ru/337RqB
Сестринское дело,Сестринское дело в стоматологии,144,9792,,https://clck.ru/337Rqu
Сестринское дело,Сестринское дело в психиатрии,144,9792,,https://clck.ru/337RrM
Сестринское дело,Сестринское дело в офтальмологии,144,9792,,https://clck.ru/337Rro
Сестринское дело,Сестринское дело в оториноларингологии,144,9792,,https://clck.ru/337RsK
Сестринское дело,Сестринское дело в курортологии,144,9792,,https://clck.ru/337Rsd
Сестринское дело,Сестринское дело в кардиологии,144,9792,,https://clck.ru/337Rsu
Сестринское дело,Сестринская помощь онкологическим больным,144,9792,,https://clck.ru/337RtW
Сестринское дело,Сестринская помощь больным с доброкачественными и злокачественными опухолями,144,9792,03.11.2022,https://clck.ru/337Rts
Сестринское дело,Сестринская помощь ожоговым больным,144,9792,,https://clck.ru/337Rua
Сестринское дело,Сестринская помощь гинекологическим больным,144,9792,,https://clck.ru/337Ruz
Сестринское дело,Сестринская помощь больным с кожными и венерическими заболеваниями,144,9792,,https://clck.ru/337RvC
Сестринское дело,Сестринская социальная помощь,144,9792,,https://clck.ru/337Rvn
Сестринское дело,Первичная медико-санитарная помощь взрослому населению,144,9792,,https://clck.ru/337Rw6
Сестринское дело,Первичная медико-профилактическая помощь населению,144,9792,,https://clck.ru/337RwK
Сестринское дело,Социальная помощь лицам пожилого и старческого возраста,144,9792,,https://clck.ru/337Rwo
Сестринское дело,Управление и экономика в здравоохранении,144,9792,,https://clck.ru/337RxL
Сестринское дело,Ультразвуковая диагностика,144,9792,,https://clck.ru/337RyG
Сестринское дело,Сестринская косметология,144,9792,,https://clck.ru/337Ryk
Сестринское дело,"Радиоизотопная диагностика, лучевая терапия",144,9792,,https://clck.ru/337RzC
Сестринское дело,Реабилитационное сестринское дело,144,9792,,https://clck.ru/337Rzd
Сестринское дело,Сестринское дело,144,9792,21.02.2022,https://clck.ru/337S7n
Сестринское дело,Вопросы паллиативной помощи в деятельности специалиста сестринского дела,144,9792,,https://clck.ru/337S8Y
Сестринское дело,Гемодиализ,144,9792,,https://clck.ru/337S8v
Сестринское дело,Трансфузиология,216,14688,,https://clck.ru/337S9N
Сестринское дело,Сестринское дело,288,19584,04.04.2022,https://clck.ru/337SAs
Сестринское дело,Социальная помощь детям и подросткам,144,9792,29.08.2022,https://clck.ru/337SBe
Сестринское дело,"Актуальные вопросы в деятельности среднего медицинского персонала в условиях риска распространения особо опасных инфекций (чума, холера, брюшной тиф)",144,9792,18.08.2022,https://clck.ru/337SCA
Сестринское дело,Сестринское дело в косметологии. Общее усовершенствование,74,5032,24.10.2022,https://clck.ru/337SCZ
"Сестринское дело
(Акушерское дело, Лабораторная диагностика, Медико-профилактическое дело, Медицинский масcаж, Стоматология ортопедическая, Стоматология профилактическая, Фармация)",Оказание первой помощи,144,9792,18.08.2022,https://clck.ru/337SCu
"Сестринское дело
(Акушерское дело, Лечебное дело)",Медицинская помощь пациентам с новой коронавирусной инфекцией (COVID-19),36,2448,07.07.2022,https://clck.ru/337SDA
"Сестринское дело
(Сестринское дело в педиатрии)",Сестринский уход за новорожденными,36,2448,17.05.2022,https://clck.ru/337SDi
"Сестринское дело
(Сестринское дело в педиатрии)",Сестринский уход за новорожденными,74,5032,17.05.2022,https://clck.ru/337SDz
"Сестринское дело
(Сестринское дело в педиатрии)",Сестринский уход за новорожденными,144,9792,17.05.2022,https://clck.ru/337SEU
"Сестринское дело
(Сестринское дело в педиатрии)",Сестринский уход за новорожденными,288,19584,17.05.2022,https://clck.ru/337SEo
Сестринское дело в косметологии,Сестринское дело в косметологии,36,2448,18.08.2022,https://clck.ru/337SFx
Сестринское дело в косметологии,Сестринское дело в косметологии,144,9792,18.08.2022,https://clck.ru/337SGT
Сестринское дело в косметологии,Сестринское дело в косметологии,288,19584,18.08.2022,https://clck.ru/337SGt
Сестринское дело в косметологии,Сестринское дело в косметологии: актуальные вопросы и инновационные решения,74,5032,18.08.2022,https://clck.ru/337SHd
"Сестринское дело в педиатрии
(Сестринское дело)",Сестринская помощь детям,144,9792,,https://clck.ru/337SJm
Сестринское дело в педиатрии,Сестринское дело в педиатрии,36,2448,12.05.2022,https://clck.ru/337SKH
Сестринское дело в педиатрии,Сестринское дело в педиатрии: актуальные проблемы и инновационные решения,74,5032,,https://clck.ru/337SKb
Сестринское дело в педиатрии,Сестринское дело в педиатрии,144,9792,,https://clck.ru/337SKs
Сестринское дело в педиатрии,Первичная медико-санитарная помощь детям,144,9792,,https://clck.ru/337SLR
Сестринское дело в педиатрии,Сестринское дело в педиатрии,288,19584,12.05.2022,https://clck.ru/337SLv
Стоматология,Сестринское дело в стоматологии,36,2448,,https://clck.ru/337SMR
Стоматология,Стоматология,36,2448,06.04.2022,https://clck.ru/337SNa
Стоматология,Стоматология: актуальные вопросы и инновационные решения,74,5032,07.04.2022,https://clck.ru/337SNq
Стоматология,Стоматология,144,9792,06.04.2022,https://clck.ru/337SPG
Стоматология,Стоматология,288,19584,12.05.2022,https://clck.ru/337SPS
Стоматология,Стоматологическая помощь населению,144,5800,,https://clck.ru/hcSSu
Стоматология,Зубной врач: актуальные вопросы и инновационные решения,74,5032,01.09.2022,https://clck.ru/337SRD
Стоматология,Зубной врач,144,9792,01.09.2022,https://clck.ru/337SRV
"Стоматология ортопедическая
(Стоматология)",Стоматология ортопедическая,36,2448,,https://clck.ru/337SN7
Стоматология ортопедическая,Стоматология ортопедическая,36,2448,06.04.2022,https://clck.ru/337SSn
Стоматология ортопедическая,Стоматология ортопедическая: актуальные вопросы и инновационные решения,74,5032,04.04.22,https://clck.ru/337STY
Стоматология ортопедическая,Современные аспекты ортопедической помощи населению,144,9792,18.02.22,https://clck.ru/337SV6
Стоматология ортопедическая,Стоматология ортопедическая,144,9792,05.04.2022,https://clck.ru/337STp
Стоматология ортопедическая,Стоматология ортопедическая,288,19584,06.04.2022,https://clck.ru/337SUC
"Стоматология ортопедическая
(Стоматология профилактическая)",Скорая неотложная помощь в стоматологии с использованием автоматического наружного дефибриллятора,74,5032,17.08.2022,https://clck.ru/337SVi
Стоматология профилактическая,Стоматология профилактическая,36,2448,04.04.2022,https://clck.ru/337SWV
Стоматология профилактическая,Стоматология профилактическая: актуальные вопросы и инновационные решения,74,5032,06.04.2022,https://clck.ru/337SXz
Стоматология профилактическая,Стоматология профилактическая,144,9792,06.04.2022,https://clck.ru/337SYR
Стоматология профилактическая,Современные аспекты профилактической стоматологии,144,9792,,https://clck.ru/337SZ5
Стоматология профилактическая,Стоматология профилактическая,288,19584,06.04.2022,https://clck.ru/337SaT
Скорая и неотложная помощь,Скорая и неотложная помощь: актуальные вопросы и инновационные решения,36,2448,,https://clck.ru/337SbN
Скорая и неотложная помощь,Скорая и неотложная помощь: актуальные вопросы и инновационные решения,74,5032,,https://clck.ru/337Sbe
Скорая и неотложная помощь,Скорая и неотложная помощь,144,9792,,https://clck.ru/337Scc
Скорая и неотложная помощь,Скорая и неотложная помощь,288,19584,07.04.2022,https://clck.ru/337SdH
"Скорая и неотложная помощь
(Стоматология)",Скорая неотложная помощь в стоматологии с использованием дефибриллятора,144,9792,26.08.2022,https://clck.ru/337SeH
"Скорая и неотложная помощь
(Лечебное дело, Стоматология)",Скорая неотложная помощь в стоматологии с использованием дефибриллятора,74,5032,06.04.2022,https://clck.ru/337Sf4
"Скорая и неотложная помощь
(Лечебное дело, Стоматология)",Скорая неотложная помощь в стоматологии с использованием дефибриллятора,288,19584,06.04.2022,https://clck.ru/337SfS
"Скорая и неотложная помощь
(Лечебное дело, Стоматология, Стоматология ортопедическая, Стоматология профилактическая)",Скорая неотложная помощь в стоматологии с использованием дефибриллятора,36,2448,11.04.2022,https://clck.ru/337QMR
Судебно-медицинская экспертиза,Судебно-медицинская экспертиза,36,2448,06.09.2022,https://clck.ru/337Sgy
Судебно-медицинская экспертиза,Судебно-медицинская экспертиза,144,9792,06.09.2022,https://clck.ru/337ShH
Судебно-медицинская экспертиза,Судебно-медицинская экспертиза,288,19584,06.09.2022,https://clck.ru/337She
Судебно-медицинская экспертиза,Судебно-медицинская экспертиза: актуальные вопросы и инновационные вопросы,74,5032,06.09.2022,https://clck.ru/337Si8
Фармация,Безрецептурный отпуск лекарственных средств и техника продаж,36,2448,,https://clck.ru/337Sio
Фармация,Фармация,36,2448,06.04.2022,https://clck.ru/337SjU
Фармация,Фармация: актуальные вопросы и инновационные решения,74,5032,21.02.22,https://clck.ru/337Sjy
Фармация,Безрецептурный отпуск лекарственных средств и техника продаж,144,9792,,https://clck.ru/337SmD
Фармация,Отпуск лекарственных средств,144,9792,,https://clck.ru/337SmU
Фармация,Фармация,144,9792,21.02.22,https://clck.ru/337Smu
Фармация,Фармация,288,19584,06.04.2022,https://clck.ru/337Sn8
"Физиотерапия
(Сестринское дело)",Физиотерапия,144,9792,,https://clck.ru/337SnU
Физиотерапия,Физиотерапия,36,2448,,https://clck.ru/337Sne
Физиотерапия,Физиотерапия: актуальные вопросы и инновационные решения,74,5032,18.04.2022,https://clck.ru/337Sns
Физиотерапия,Физиотерапия,288,19584,18.04.2022,https://clck.ru/337SoK
Функциональная диагностика,Функциональная диагностика,36,2448,,https://clck.ru/337SpD
Функциональная диагностика,Функциональная диагностика: актуальные вопросы и инновационные решения,74,5032,07.07.2022,https://clck.ru/337SpY
Функциональная диагностика,Функциональная диагностика,144,9792,,https://clck.ru/337Sq3
Функциональная диагностика,Функциональная диагностика,288,19584,07.07.2022,https://clck.ru/337SqM
Энтомология,Современные вопросы энтомологии,36,2448,,https://clck.ru/337Sqp
Энтомология,Современные вопросы энтомологии,144,9792,,https://clck.ru/337Sqw
Энтомология,Энтомология,288,19584,26.05.2022,https://clck.ru/337SrJ
Энтомология,Энтомология,144,9792,03.06.2022,https://clck.ru/337SrY
Энтомология,Энтомология,36,2448,31.08.2022,https://clck.ru/337Sro
Энтомология,Энтомология: актуальные проблемы и инновационные решения,74,5032,01.09.2022,https://clck.ru/337Sry
Эпидемиология (паразитология),Эпидемиология,36,2448,19.04.2022,https://clck.ru/337StR
Эпидемиология (паразитология),Современные аспекты эпиднадзора,36,2448,,https://clck.ru/337SuK
Эпидемиология (паразитология),Эпидемиология: актуальные вопросы и инновационные решения,74,5032,17.08.2022,https://clck.ru/337Sti
Эпидемиология (паразитология),Эпидемиология,144,9792,19.04.2022,https://clck.ru/337Ssz
Эпидемиология (паразитология),Эпидемиология,288,19584,19.04.2022,https://clck.ru/337Sts
